conceptType,conceptUri,skillType,preferredLabel,altLabels,description
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/16132f2b-cf61-4c53-ae8d-9023a8bab90b,knowledge,telemarketing,"cold-calling
telephone soliciting",Principles and techniques of soliciting potential customers over the phone to perform direct marketing of products or services.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1618ee1c-6753-456e-a171-3d7e5f75404a,knowledge,good laboratory practice,"regulatory requirements
GLP
meet regulatory requirements
good working practices
laboratory best practice
glp",Regulatory requirements and Good Laboratory Practices (GLP) applied in the relevant manufacturing sector.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1627c1b9-31e1-4742-bf5c-cfec2ce33cfc,knowledge,Sardinian,"competent in Sardinian
Sardu
Sard
ability to comprehend spoken and written Sardinian and to speak and write in Sardinian",The Sardinian language.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/16936223-285b-47e6-8c76-f60f26294c14,knowledge,music therapy clinical practice,"clinical practice music therapy
music therapy in medical setting
music-based interventions in clinical setting",The therapeutic and musical support provided to facilitate effective treatment involving music-based interventions for patients in the medical setting such as a clinic.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1697d506-a82b-45aa-9a2f-2b71d71e1789,knowledge,water chemistry analysis,"science of complex water chemistry
principles of complex water chemistry
science of water chemistry analysis
complex water chemistry
techniques in water chemistry analysis
principles of water chemistry analysis",Principles of complex water chemistry.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/16af9bcb-5fca-4a65-bd59-8a407f009999,knowledge,etiopathy,"etiopathic therapy
mechanical medicine using only hands for treatment",Alternative medicine therapy which has as its basis the idea that the practitioner uses only his hands to treat the patients' symptoms on longer term by diagnosing the deeper cause of the illness.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/16b1f191-eafd-4821-a08a-9f0cc4e5a71a,knowledge,pharmaceutical products,"pharmaceutical commodities
pharmaceutical brands
pharmaceutical merchandise
a pharmaceutical product
pharmaceutical product
pharmaceutical stock","The offered pharmaceutical products, their functionalities, properties and legal and regulatory requirements."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/16c8eade-5c2b-4c9c-a60d-6799dbc758a3,knowledge,instrumentation equipment,"valves
re
equipment used in instrumentation
process control instruments
process control equipment
process monitoring instruments
process monitoring equipment
equipment for instrumentation","The equipment and instruments used for the monitoring and controlling of processes, such as valves, regulators, circuit breakers, and relays."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/16cd7594-f518-45db-bd9a-9cf2b5a59691,knowledge,chemistry of wood,"wood chemistry
structure of wood
composition of wood
balance of wood","The chemical composition of every wood species, which consists of a certain percentage of cellulose, hemicellulose, and lignin, and contains carbon, oxygen, hydrogen, nitrogen, and other elements."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/16f22744-64f4-4798-8666-aea6d7d201fc,knowledge,international waterways,"international water transportation routes
worldwide maritime waterways
international maritime waterways
maritime waterways around the world
global navigable bodies of water
international navigable bodies of water
international water transport routes
global maritime waterways
global waterways","The international waterways used for maritime navigation, the geographical location of currents, maritime waterways, and harbours."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1709f408-9965-489b-9805-8e1e5d9e483b,knowledge,health care legislation,"patient's rights and practitioners' responsibilities
healthcare laws and regulations
healthcare legislation
medical law",The patients` rights and responsibilities of health practitioners and the possible repercussions and prosecutions in relation to medical treatment negligence or malpractice.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/17702c40-e963-4593-847e-a332b1c9357e,knowledge,Edmodo,,"The education network Edmodo is an e-learning platform for creating, administrating, arranging, reporting and delivering e-learning training and connecting teachers, students and parents."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/177983da-20a1-451c-98e6-21e6b4ed97ae,knowledge,sightseeing information,"provide tourist information
give tourists updated information on attractions
information on sightseeing
information regarding sightseeing",The sightseeing information of a particular touristic site.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/17996b4f-1302-4bd7-a4c7-912b74feccf0,knowledge,fine arts,"fine art
principles and techniques of the fine arts
theory of fine arts
theory of fine art","The theory and techniques required to compose, produce and perform works of visual arts as drawing, painting, sculpture and other art forms."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/17b8aac7-6444-4fcc-bb51-a158df61ffbc,knowledge,electrical stimulation in acupuncture,"acupuncture electrical stimulation
electrical acupuncture
electrical stimulation of acupuncture points
electrical stimulations in acupuncture",The technique used in acupuncture where electric conducting pads are placed on a skin area and a low frequency electric current is passed through it to stimulate the acupuncture points.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/17e18610-3f53-48e8-8d6d-4c9e9cd71f93,knowledge,types of propellants,"categories of propellants
varieties of fuel
brands of propellants
varieties of propellants
categories of fuel
brands of fuel
fuel formats
propellant formats","Field of information which distinguishes different types of propellants such as black gunpowder to forms of smokeless powder derived from nitrocellulose. These create an expanding gas which makes the bullet accelerate from the barrel. Other differences emerge from the expansion rate, size and shape of the powder."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/18077f24-52ea-4562-94ba-c7caab0d1033,knowledge,entertainment industry,"entertainment sector
entertainment business","Figures in the entertainment business such as producers, managers, artists, musicians and technicians."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/181621db-002a-4d8d-b9e8-21451e76115f,knowledge,crime victims' rights,"crime victim legislation
legal rights of a crime victim
crime victim's rights
crime victim right
rights of crime victims
legal rights of crime victims",Legal rights to which victims of a crime are entitled to under national law.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/183dfd0f-9965-4ecc-b42d-72dee6baeab8,knowledge,dimension stone,"cut stone
drilled stone
dimensional stone
dimension stones
ground stone
trimmed stone
finished stone","The types of stones that are cut and finished following detailed specifications of size, shape, colour, and durability. Dimensional stones are commissioned for usage in buildings, paving, monuments, and the like."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/18532b8f-360c-4e69-94f8-50795b07277a,knowledge,wine blending,"wine mixing
the blending of wine
the blending of wines
wine mixtures",Blending processes of wines considering factors that affect how wine is perceived by the taster and eliminate anything that may hinder objective testing.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/18591ccc-3c25-43eb-871a-b0fefeee3b93,knowledge,forensic psychiatry,"applied psychiatry methods in forensic setting
forensic psychiatry methods","The psychiatry methods applied, the organsation and duties in both criminal and civil frameworks of justice."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/186ba200-6c13-4ffd-947d-dbfe75a2b985,knowledge,quality criteria for livestock feed production,"range of quality standards for livestock feed production
range of quality criteria for livestock feed production
types of quality criteria for livestock feed production
typology of quality standards for livestock feed production
livestock feed production quality criteria
scope of quality standards for livestock feed production
types of quality standards for livestock feed production
typology of quality criteria for livestock feed production
livestock feed production quality standards
scope of quality criteria for livestock feed production","Quality assurance approaches, procedures and systems to allow for analysis of feeds and feed ingredients and determine their nutritional value. Evaluation of the functioning of a feed analysis laboratory and of its compliance to international standards.   
 
 
 "
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/186da517-9a3e-41cd-9158-4001e3694459,knowledge,organic farming,"farming ecologically
types of ecological agriculture
principles of ecological agriculture
typology of ecological agriculture
principles of organic farming
types of organic farming
regulations of organic farming
farming organically
regulations of ecological agriculture
typology of organic farming","Principles, techniques and regulations of organic farming. Organic farming or ecological agriculture is an agricultural production method, which places a strong emphasis on environmental protection and ecological balance."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/187f82c7-b165-4e6b-b327-704e38e85cdd,knowledge,automotive diagnostic equipment,"test equipment of automotives
automotive diagnostic tools
automotive diagnostic equipments
motor vehicle examination equipment
motor vehicle diagnostic equipment
automotive examination tools
automotive test equipment
automotive diagnostic scanner
diagnostic equipment of automotives",The equipment used to examine automotive systems and components.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/18edb12e-4f41-4ae0-8085-7513236580c8,knowledge,optical glass characteristics,"optical glass characteristic
characteristics of optical glass
charactristics of refractive index and dispersion","The characteristics of optical glass such as refractive index, dispersion, and chemical properties."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/18fc46b6-0fb0-455c-9e91-083a95a4fdf6,knowledge,circus aesthetics,"artistic circus
contemporary circus
aesthetics of a circus",The way the circus concepts and traditions have evolved through time and their artistic meaning.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/190be8c6-69a6-4aff-8320-473aee68d4c8,knowledge,orthopaedic manual physiotherapy,"physiotherapy for management of neuro-musculoskeletal conditions
orthopedic manual physiotherapy
manual orthopedic physiotherapy
manual orthopaedic physiotherapy
manual orthopaedic physiotherapy techniques
manual orthopedic physiotherapy techniques","A specialised area of physiotherapy for the management of neuro-musculoskeletal conditions, based on clinical reasoning, using highly specific treatment approaches including manual techniques and therapeutic exercises."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/19115dcc-8b12-4155-8c46-20ce4e9ec74f,knowledge,laser engraving methods,"radiation beam etching
radiation beam etching arrangements
laser engraving arrangements
laser engraving
radiation beam etching approaches
laser engraving approaches
radiation beam etching mechanisms
laser engraving mechanisms","The various engraving methods emplying lasers to make incisions, such as the X-Y table method, the cylindrical workpiece method, the galvo mirrors method, and others."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/191f7a8f-ad46-4279-b639-f113f5992310,knowledge,electroplating metal materials,"electroplating metal goods
anodising metal objects
anodising metal equipment
anodising metal goods
electroplating metal equipment
electroplating metal objects
electroplating metal components
anodising metal components","The various processes various materials used for electroplating may produce, such as copper plating, silver plating, nickle plating, gold plating, embossed gold plating, degreasing, and others."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/192043be-5700-40fd-9e21-52c8f1ba8b2e,knowledge,cleaning products,"bleaches, surfuctants
typology of cleaning products
detergents
products for cleaning
soaps
types of cleaning product","The ingredients used in the development of cleaning products, their properties and risks."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/192f3ca9-2232-40d0-b241-387966ce2de8,knowledge,waste transport legislation,"regulations concerning waste transport
legislation regarding waste transport
legislation concerning waste transport
hazardous waste regulation
hazardous waste legislation
rules covering non-hazardous waste
regulations regarding waste transport
rules covering hazardous waste
rules covering hazardous and non-hazardous waste","Regulations and legislation concerning the safe transportation of hazardous and non-hazardous waste materials, products, and appliances."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/19629e11-885b-4f57-8eb0-5a3752f07d92,knowledge,music therapy schools,"music therapy school
overview of music therapy schools
importance of music therapy schools
music-therapy school
music-therapy schools
existing music therapy schools
schools teaching music therapy",The existing schools teaching music therapy and their importance for advancement in the field.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/198517e5-63bc-4337-bb33-6819bfa2f265,knowledge,sparkling wines,"bubbly wines
sparkling wine
fizzy wines",The varieties of sparkling wines and their match with food products.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/19858dd3-a5fe-4855-b644-6ecfefd1c384,knowledge,carpentry,"making and repairing of wooden objects and structures
woodworking
carpentry","Construction methods related to timber items, such as construction of roofs, floors and timber framed buildings and other related products such as doors or skirting boards."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/198b614d-a9af-46f5-b3fd-2672b401dd8e,knowledge,health and safety in the workplace,"safety, health and welfare in the workplace
health and safety programmes
health and safety programmes and implementation
safety and health in the workplace
health and safety
health, safety and welfare in the workplace
workplace health and safety","The body of rules, procdeures and regulations related to safety, health and welfare of people in their workplace. "
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/19931934-3d3f-4c9f-81a2-e962e02cfe01,knowledge,work trains,"track maintenance train
track vehicles
ballast tamper
permanent way maintenance train
track work train
railway work train
track maintenance work train","The composition and functions of a work train, a train composed of automatic machines that remove, inspect, adjust and lay railway ballast, sleepers and rails."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/19a8293b-8e95-4de3-983f-77484079c389,knowledge,Java (computer programming),"Java Posse
Javax","The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in Java."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/19c0f84a-cd7a-41c0-af4d-c5c8cbf41d75,knowledge,dog behaviour,"behaviour of dogs
dog behaviour
dogs behaviour
canine behaviour","Natural behavioural patterns of dogs, how normal and abnormal behaviour might be expressed according to dog breeds, environment, human-animal interaction and occupation."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/19c47caf-08b6-4430-9e09-0c11cb42c78a,knowledge,tram network,"public tram network
tramways
tram routes
public transportation by tram
tram lines
tram system
tram grid
public tram services",Know the tram system in order to determine how to maintain tram services while causing minimal disruption to customers in the event of incidents.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/19d82e9c-2801-4a83-8f81-c6ac4b0c02be,knowledge,types of weave for wire mesh,"categories of weave patterns for mesh manufacturing
varieties of weave for wire mesh
brands of weave for wire mesh
brands of weave patterns for mesh manufacturing
varieties of weave patterns for mesh manufacturing
categories of weave for wire mesh
weave patterns for mesh manufacturing  format
weave for wire mesh format","Various types of weave patterns used in the manufacturing of wire mesh, such as plain weave, Dutch weave, twilled weave, five heddle weave."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/19e63192-afc2-4c65-8673-f927ddb6719f,knowledge,hop cultivation,"cultivation of hops
typology of hop cultivation
techniques of hop cultivation
growing of hops
types of hop cultivation
methods of hop growing
typology of hop growing
techniques of hop growing
types of hop growing
methods of hop cultivation",The cultivation of hop plants. The diverse types of hops and the means to cultivate and harvest hop crops for beer brewing and other purposes.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/19ec88aa-c0b1-4515-ba10-56b6cf27369e,knowledge,electronic equipment standards,"regulations regarding electronic equipment
regulations covering electronic equipment
international electronic equipment regulations
regulations for electronic equipment
standards covering electronic equipment
national electronic equipment regulations
international electronic equipment standards
standards regarding electronic equipment
national electronic equipment standards
standards for electronic equipment","The national and international quality and safety standards and regulations with regards to the use and manufacture of electronic equipment and its components, such as semiconductors and printed circuit boards."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/19ef6a77-394e-42e9-95bd-3e1131885f75,knowledge,lip reading,"interpreting lip movement
lip-reading
interpreting lip movements
speech reading","The methods used to understand speech by interpreting the movements of the lips, face and tongue for people affected by hearing impairment or to understand people from a distance."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/19fad65e-26e4-432a-af72-b5a0371e0957,knowledge,types of concrete forms,"types of concrete forms
sliding formwork
typology of concrete form
climbing formwork
concrete formwork types
sorts of former
kinds of formers
types of concrete formwork
typology of concrete formwork
kinds of formwork
sorts of formwork
concrete form types","The shapes, construction methods and purposes of different types of concrete forms, including special forms like sliding and climbing formwork. Suitable materials for forms and any products or coatings used to enhance the properties of the form."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1a080b07-406e-4a2e-b316-fc766f2e6e2d,knowledge,railway law,"rail regulatory statutes
railway legislation
rail regulatory law
railway statutes
rail regulatory decrees
railway regulations
rail regulatory legislation
railway decrees","The laws and regulations governing the activities and functioning of the railway system. 
 "
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1a163b43-9826-426f-9bda-05133a9f4bf3,knowledge,milking operations,"scope of milking machinery and techniques
range of milking machinery and techniques
typology of milking operations
scope of milking operations
typology of milking machinery and techniques
types of milking operations
range of milking operations
types of milking machinery and techniques","Understand the appropriate milking operations, systems and techniques."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1a16f557-01fc-4d64-b25e-a51279a45992,knowledge,car cleaning procedures,"car cleansing procedures
car cleansing procedure
car tidying procedures
car cleaning procedure
car clear procedures
car tidying up  procedures",The procedure and appropriate equipment necessary for proper wash and polish of different types of cars.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1a1a04b7-1d4c-414d-a791-7499ddb90a7f,knowledge,functions of vessel deck equipment,"vessel deck equipment operations
functionalities of vessel deck equipment
functions of deck equipment on vessels
operations using ship deck equipment
functions of ship deck equipment
activities performed with vessel deck equipment
functionalities of ship deck equipment
functions of deck equipment on ships
ship deck equipment operations
operations using vessel deck equipment
activities performed with ship deck equipment",Know and control deck and safety equipment and vessel lifting facilities.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1a369b5d-cf7a-4dc6-8d65-18b4e16949a2,knowledge,composition of bakery goods,"format  of bakery goods
varieties of bakery goods
composition of bakeries goods
contents of bakery goods
types of bakery goods
bakery goods composition","The components, nutrients, vitamins, and composition of the ingredients to make bakery and farinaceous products."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1a4490c8-e98b-49f0-bdc8-78484a978dc0,knowledge,audiology,"treatment of hearing and balance disorders
treatment of hearing and balance conditions
science of hearing and balance disorders","The science related to the hearing, balance and other related disorders and conditions specific to adults or children."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1a539b09-1fd9-4a86-9c5d-fde7499a2f9d,knowledge,election law,"election legislation
balloting statutes
election statutes
balloting laws
election rules
ballot legislation
ballot rules","The regulations concerning the procedures during elections, such as voting regulations, campaign regulations, which procedures candidates must follow, how votes are counted, and other electoral procedures."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1a59af95-f36a-4d99-a5ca-6a7a46e2ecb0,knowledge,body language,"bodily language
non-verbal language
non-verbal signals","Notice and interpret the non-verbal signals that people send out with their body, including yourself."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1a6d5cbc-74e5-444c-8fb7-00cd7daf245e,knowledge,solid-state chemistry,"typology of solid-state chemistry
materials chemistry
solid materials properties
solid-state chemistry types
properties of solid materials
types of solid-state chemistry","Field of science, also called materials chemistry, studying the properties, synthesis and structure of materials, mostly inorganic, in the solid phase."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1a751830-e315-45f4-878d-b42563221e53,knowledge,aquaculture legal documents,"types of aquaculture licenses, leases, permits and approvals
typology of aquaculture legal documents
range of aquaculture legal documents
types of aquaculture legal documents
aquaculture licenses, leases, permits and approvals
typology of aquaculture licenses, leases, permits and approvals
legal documents in aquaculture
range of aquaculture licenses, leases, permits and approvals","The required permits, licenses, leases and approvals used in aquaculture and their application to specific fish farms and conditions."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1aa0f58e-790d-4965-afd2-18c581481c0c,knowledge,motor vehicle parts drawings,"motor vehicles parts drawings
motor vehicle parts diagrams
motor vehicle parts pictures
motor vehicle parts sketches
motor vehicle part drawing
motor vehicle parts drawing
motor vehicle parts blueprints",The various types of technical drawings used in relation to motor vehicles parts.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1acc3692-efa7-47d0-9deb-062e60b2208f,knowledge,new vehicles on the market,"unused vehicles on the market
latest vehicles on the market
up to date vehicles on the market
new vehicles on the market",Latest developments and trends related to the new types of vehicles and vehicle brands on the market.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1acf32e9-3cc6-4b3d-9d02-7cdf307743c3,knowledge,fasciatherapy,"aponeurosis-therapy
aponeurosis therapy
fascia-therapy
manual therapy on the fascia",A manual therapy applied on the fascia (the connective tissue woven through the entire body) which is used for the treatment of physical or psychological disorders such as pain and movement disorders.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1ad64d80-9350-42a7-9f86-37ef1501b0f1,knowledge,Steiner principles,"Steiner methods
Steiner principle
Steiner approaches
Steiner concepts","The principles and values of the (Waldorf) Steiner ideology focusing on the foundations of anthroposophy, moral responsibility, creativity, social competency, and spiritual open mindedness."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1b04fdae-b2b7-469d-bbe4-420a32b82071,knowledge,chiropractic terminology,"terminology used in chiropractic
terminology of chiropractic
chiropractic prescriptions
chiropractic terms and abbreviations","Chiropractic terms and abbreviations, chiropractic prescriptions and various chiropractic specialties and when to use them correctly."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1b10c3de-1284-4c89-a9f9-762ad51a6ad7,knowledge,trends in fashion,"directions in fashion
trend in fashions
trend in fashion
drifts in fashion
fashion leanings
movements in fashion
trends in fashions",New developments and trends in the world of fashion.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1b1c2d44-c487-4121-a2ed-dcda651f4d59,knowledge,car controls,"car handling
car operation
controlling a  car
car controlling
control a car","The functioning of specific car equipment such as how to operate and handle the clutch, throttle, lighting, instrumentation, transmission and the brakes."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1b1cf435-46ba-4471-afda-5029b36b3862,knowledge,government representation,"participation in government
state governance engagement
state governance approval
government engagement
government participation
government approval
state governance participation
participation in state governance","The legal and public representation methods and procedures of the government during trial cases or for communication purposes, and the specific aspects of the governmental bodies being represented in order to ensure accurate representation."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1b61166d-0495-4f16-aff0-f564d3a8afb3,knowledge,analytical chemistry,"analytical chemistry studies
instruments of analytical chemistry
methods of analytical chemistry","Instruments and methods used to separate, identify and quanitfy matter - the chemical components of natural and artificial materials and solutions."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1b718a43-4295-44cc-9530-78323bbeb663,knowledge,lab scale fermentation,"processes of lab scale fermentation
process of lab scale fermentation
making of fuels
making of chemicals
fermentation at lab scale
biomass conversion
making of sugars
conversion of biomass","The steps and requirements included in lab scale fermentation for the conversion of the biomass into chemicals, sugars or fuels."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1b7c716e-af95-4cda-a42f-6479c8b139f5,knowledge,MDX,MultiDimensional eXpressions,The computer language MDX is a query language for retrieval of information from a database and of documents containing the needed information. It is developed by the software company Microsoft.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1b7e6f56-bc73-4bcc-81ae-09252175d418,knowledge,Estonian,"ability to comprehend spoken and written Estonian and to speak and write in Estonian
competent in Estonian",The Estonian language. Estonian is an official and working language of the EU.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1ba3a076-6517-4dd9-b461-eb23ca25fbe9,knowledge,nuclear reprocessing,"reprocessing radioactive waste
nuclear substance reprocessing
nuclear substance processing
radioactive materials reprocessing
processing nuclear substances
radioactive waste reprocessing
reprocessing radioactive materials
reprocessing nuclear substances","The process in which radioactive substances can be extracted or recycled for use as nuclear fuel, and in which waste levels can be reduced, yet without the reduction of radioactivity levels or generation of heat."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1bba98a7-92b9-450b-9235-e0c905f8f3c4,knowledge,information architecture,,"The methods through which information is generated, structured, stored, maintained, linked, exchanged and used."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1bc407da-f2cf-41d3-a567-a21930660199,knowledge,preventative measures against pests,"preventative actions against pests
preventative measures against pest
pest preventative measures
preventative measure against pests
pest infestation prevention","Techniques and measures used to prevent unwanted bugs or animals in houses or buildings, such as installing wood protection and bird spikes."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1bc46d79-d290-4d2e-bf79-a634ea10e584,knowledge,airport terminal standards,"standards for airport terminals
airport terminal codes
airport terminal requirements
operational requirements for airport terminals
minimum standards for airport terminal operation
operational standards for airport terminals
airport terminal regulations
airport standards",Understanding the important rules and minimum requirements concerning the structure of airport terminals and the organisation of passenger information.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1bd24c22-f065-4ef9-adf4-068f01581987,knowledge,occupational physiology,"ergonomics associated with work
physiology of work
physiology of specific jobs","The complex physiology of specific jobs and its relation to disorders and medical conditions and the way to optimize health, work ability, and productivity."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1bfd3bf6-a289-4c30-b0b0-16aae3434c39,knowledge,creation of clinical psychological opinions,"creation of opinions in clinical psychology
development of opinions in clinical psychology
formation of opinions in clinical psychology
creation of clinical psychological opinion",The development of opinions based on specialised literature and evidence-based documentation in the field of clinical psychology.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1c00bc98-2713-4c62-82c5-6d86f2e6a4cb,knowledge,principles of animation,,"The principles of 2D and 3D animation, such as body motion, kinematics, overshoot, anticipation, squash and stretch."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1c3a0f83-8ee5-4693-9e3d-f1546a59a653,knowledge,types of packaging materials,"types of packaging material
type of packaging materials
varieties of packaging materials
categories of packaging materials
packaging materials varieties
brands of packaging materials
packaging materials types",Properties of materials that make them suitable for packaging. Conversion of raw materials into packaging materials. Different types of labels and materials used which comply with the correct storage criteria depending on the goods.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1c460d2d-90c6-4fc9-ad49-febb6e15605a,knowledge,pricing strategies,"pricing tactics
price strategies
pricing strategy
pricing plans","The techniques, theories, and commonly accepted strategies regarding pricing of goods. The relation between pricing strategies and outcomes in the market such as profitability maximisation, deterrence of newcomers, or increase of market share."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1c582939-d981-4325-a2ac-f87fc6cf2315,knowledge,philosophy of mathematics,"mathematics philosophy
math philosophy
philosophy of math
philosophy of mathematics studies
the study of philosophy of mathematics",The subdiscipline of mathematics that examines the philosophical foundations and implications of mathematics. It studies the methodology of math and how people use it in their daily lives.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1c5f1010-17aa-4a17-acd3-3bbef4fcd2b4,knowledge,corrosion types,"degeneration and oxidising conditions
degeneration and oxidising brands
degeneration and oxidising varieties
corrosion conditions
degeneration and oxidising categories
corrosion categories
corrosion brands
corrosion varieties","The various types of oxidation reactions with the environment, such as rusting, copper pitting, stress cracking, and others."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1c70f577-4c90-4fa9-9fc8-ac594c19dd52,knowledge,horse riding,"riding horses
horseback riding
equestrianism","The techniques involved in horse riding including riding styles and ways to control the horse such as jumping, turning, trotting and stopping."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1c7fbce8-741b-416a-8b34-f9900e0ddd52,knowledge,Shiva (digital game creation systems),,"The cross-platform game engine which is a software framework that consists of integrated development environments and specialised design tools, designed for the rapid iteration of user-derived computer games. 
 "
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1ca140f8-d8aa-4e02-8ddc-31cbf75dd7ae,knowledge,microwave principles,,"The technologies used in transmission of information or energy via electromagnetic waves between 1000 and 100,000 MHz."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1cca610d-2afc-44a7-97fc-f2262fb5fc75,knowledge,surveying,"land surveying
land survey
survey",The technique of determining the terrestrial or three-dimensional position of points and the distances and angles between them.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1ccde3e7-d2bb-4acb-bc8c-6831d7c13fc8,knowledge,synthetic fertilisers,"phosphatic  fertilisers
nitrogen  fertilisers
fertilisers which are synthetic
potassium fertilisers","The description and chemical composition of synthetic fertilisers such as phosphatic, nitrogen and potassium fertilisers."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1ce4cddd-4a74-458e-a2d4-152ca939475a,knowledge,OWASP ZAP,"OWASP Zed Attack Proxy
OWASP Zed","The integrated testing tool OWASP Zed Attack Proxy (ZAP) is a specialised tool which tests web applications security weaknesses, replying on an automated scanner and a REST API."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1d062465-89b3-4fd9-b043-0f4d6d386a52,knowledge,media law,"media laws
media standards
media legality
media rules
media regulation
media legislation
media norms","Set of laws related to the entertainment and telecommunications industry and regulatory activities within the fields of broadcasting, advertising, censorship, and online services."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1d0de98f-c5a6-4607-aea9-d432794f144b,knowledge,classical languages,classical language,"All dead languages, no longer actively used, originating from various periods in history, such as Latin from Antiquity, Middle English from the Middle Ages, Classical Maya from the Pre-colonial Americas, and Renaissance Italian from the Early Modern Period."
